schema,class,fragment,type,status,compilation,first_error,timestamp
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,73-91:initialize,method,attempted,error,Compilation failed: error: no matching constructor for call 'Thread',2026-06-18T19:56:18.902867
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,93-95:getNativeLibraryPath,method,completed,success,Compilation successful,2026-06-18T19:56:27.763414
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,97-99:getNativeLibrarySourceUrl,method,completed,success,Compilation successful,2026-06-18T19:56:36.979305
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,101-103:getTempDir,method,attempted,error,Compilation failed: error: undeclared identifier 'System',2026-06-18T19:57:13.873805
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,109-132:cleanup,method,attempted,error,"Compilation failed: error: expected ';' or '<NL>', found '?'",2026-06-18T19:58:10.782145
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,134-143:readNBytes,method,attempted,error,Compilation failed: error: extra arguments given for parameter list '(Struct-Array<UInt8>)' in call,2026-06-18T19:59:07.344481
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,145-174:contentsEquals,method,attempted,error,Compilation failed: error: unknown named argument prefix 'item:',2026-06-18T19:59:57.008532
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,184-235:extractAndLoadLibraryFile,method,attempted,error,Compilation failed: error: unclosed delimiter: '(',2026-06-18T20:00:53.569007
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,237-239:randomUUID,method,attempted,error,Compilation failed: error: undeclared identifier 'Random',2026-06-18T20:01:30.400718
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,247-276:loadNativeLibrary,method,attempted,error,Compilation failed: error: undeclared type name 'UnsatisfiedLinkError',2026-06-18T20:02:19.895865
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,283-353:loadJansiNativeLibrary,method,attempted,error,Compilation failed: error: undeclared identifier 'ArrayList',2026-06-18T20:03:15.759519
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,355-357:hasResource,method,attempted,error,Compilation failed: error: 'getResource' is not a member of class 'JansiLoader',2026-06-18T20:03:49.409701
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,362-365:getMajorVersion,method,attempted,error,Compilation failed: error: undeclared identifier 'parse',2026-06-18T20:04:29.548574
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,370-373:getMinorVersion,method,attempted,error,Compilation failed: error: undeclared identifier 'parse',2026-06-18T20:05:03.906521
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,378-394:getVersion,method,attempted,error,Compilation failed: error: undeclared type name 'IOException',2026-06-18T20:05:44.669338
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,37-37:FOREGROUND_BLUE,field,attempted,success,,2026-06-18T20:19:23.215659
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,38-38:FOREGROUND_GREEN,field,attempted,success,,2026-06-18T20:19:23.263373
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,39-39:FOREGROUND_RED,field,attempted,success,,2026-06-18T20:19:23.311014
